id;name;personal_category;login;personal_target;unspecific_target;personal_description;rating_source;data_reasonable;secure_transmission;rater;influence_key;archetype;privacy_index;privacy_index_confidence
17073;Psych Drugs;;false;;advertisers / marketeers;false;screenshot,description;;;thomas;unspecific_target;3;6;0.19999999999999996
17315;Pregnancy (BabyBump);life status specs,vital values,body specs,symptoms;true;app provider,advertisers / marketeers;analytics,advertisers / marketeers;true;app downloaded,http proxy,privacy policy;false;true;thomas;personal_target;4;80;0.9
17383;Sleepmaker Waves Free;;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;2;6;0.19999999999999996
17385;Sleepmaker Wildlife Free;;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;;6;0.19999999999999996
17387;Sleepmaker Storms Free;;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;3;6;0.19999999999999996
17389;Sleepmaker Streams Free;;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;2;6;0.19999999999999996
17393;Sleepmaker Rain Free;;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;;6;0.19999999999999996
17687;Silent Island Relaxation Lite;;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;;6;0.19999999999999996
17837;Skyscape Medical Resources;address;true;app provider,advertisers / marketeers;analytics;false;app downloaded,http proxy,privacy policy;false;false;thomas;personal_target;3;78;0.9
18231;RxmindMe Prescription / Medicine Reminder and Pill Tracker;medication intake;true;app provider,advertisers / marketeers;;true;app downloaded,http proxy,privacy policy;false;false;thomas;personal_target;11;74;0.9
18258;Running Log Free;workout / activities;false;;analytics,advertisers / marketeers;true;app downloaded,http proxy;true;;thomas;unspecific_target;5;8;0.8
18773;Teen BMI (Find out how your WEIGHT, HEIGHT and BMI compares with others of the same age);;false;;;false;app downloaded,http proxy;;;thomas;;5;0;0.8
18891;"Taber's Medical Dictionary for Mobile + Web";;true;;;false;description,screenshots;;;thomas;;2;0;0.8
18963;Symptom Checker .MD;symptoms;true;app provider;analytics,advertisers / marketeers;true;app downloaded,http proxy;false;true;thomas;login_required;;43;0.8
19125;Stress Check;symptoms,life status specs;false;;;false;app downloaded,http proxy;;;thomas;category;2;9;0.8
19222;STAT ICD-9 LITE;;false;;analytics;false;app downloaded,http proxy;;;thomas;unspecific_target;6;6;0.8
19336;Speed Bones Lite (Quiz);;false;;;false;description,screenshots;;;thomas;;;0;0.8
19398;X-rays;;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;3;6;0.19999999999999996
19615;Waterlogged - Drink More Water, Track Daily Water Intake, Use Remiders;food intake;true;app provider;analytics;true;app downloaded,http proxy;true;true;thomas;login_required;;33;0.8
19670;WebMD;symptoms,life status specs,medication intake,symptoms;true;app provider,advertisers / marketeers;analytics,advertisers / marketeers;true;app downloaded,http proxy,privacy policy;true;true;thomas;personal_target;12;74;0.9
19671;WebMD for iPad;symptoms,life status specs,medication intake,symptoms;true;app provider,advertisers / marketeers;analytics,advertisers / marketeers;true;app downloaded,http proxy,privacy policy;true;true;thomas;personal_target;12;74;0.9
21113;3D Brain;;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;2;6;0.19999999999999996
21295;"3D4Medical's Images - iPad edition";;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;;6;0.19999999999999996
21981;BMI Calculator;;false;;;false;app downloaded,http proxy;;;thomas;;;0;0.19999999999999996
22090;BMIapp;;false;;;false;app downloaded,http proxy;;;thomas;;3;0;0.19999999999999996
22092;Bmi/BodyFat Calculator+More;body specs;false;;analytics,advertisers / marketeers;false;app downloaded,http proxy;;;thomas;unspecific_target;5;10;0.8
22549;C25K™ - 5K Trainer FREE;;false;;analytics,advertisers / marketeers;false;app downloaded,http proxy;;;thomas;unspecific_target;5;6;0.8
22670;Baby Names+;;false;;advertisers / marketeers;false;screenshot,description;;;thomas;unspecific_target;12;6;0.19999999999999996
